name,city,country,IATA,,lat,long,x,y,z,region,type
Goroka Airport,Goroka,Papua New Guinea,GKA,AYGA,-6.08168983459,145.391998291,5282,10,U,Pacific/Port_Moresby,airport
Madang Airport,Madang,Papua New Guinea,MAG,AYMD,-5.20707988739,145.789001465,20,10,U,Pacific/Port_Moresby,airport
Mount Hagen Kagamuga Airport,Mount Hagen,Papua New Guinea,HGU,AYMH,-5.82678985595703,144.296005249023,5388,10,U,Pacific/Port_Moresby,airport
Nadzab Airport,Nadzab,Papua New Guinea,LAE,AYNZ,-6.569803,146.725977,239,10,U,Pacific/Port_Moresby,airport
Port Moresby Jacksons International Airport,Port Moresby,Papua New Guinea,POM,AYPY,-9.44338035583496,147.220001220703,146,10,U,Pacific/Port_Moresby,airport
Wewak International Airport,Wewak,Papua New Guinea,WWK,AYWK,-3.58383011818,143.669006348,19,10,U,Pacific/Port_Moresby,airport
Narsarsuaq Airport,Narssarssuaq,Greenland,UAK,BGBW,61.1604995728,-45.4259986877,112,-3,E,America/Godthab,airport
Godthaab / Nuuk Airport,Godthaab,Greenland,GOH,BGGH,64.19090271,-51.6781005859,283,-3,E,America/Godthab,airport
Kangerlussuaq Airport,Sondrestrom,Greenland,SFJ,BGSF,67.0122218992,-50.7116031647,165,-3,E,America/Godthab,airport
Thule Air Base,Thule,Greenland,THU,BGTL,76.5311965942,-68.7032012939,251,-4,E,America/Thule,airport
Akureyri Airport,Akureyri,Iceland,AEY,BIAR,65.6600036621094,-18.0727005004883,6,0,N,Atlantic/Reykjavik,airport
Egilsstaðir Airport,Egilsstadir,Iceland,EGS,BIEG,65.2833023071289,-14.4013996124268,76,0,N,Atlantic/Reykjavik,airport
Hornafjörður Airport,Hofn,Iceland,HFN,BIHN,64.295601,-15.2272,24,0,N,Atlantic/Reykjavik,airport
Húsavík Airport,Husavik,Iceland,HZK,BIHU,65.952301,-17.426001,48,0,N,Atlantic/Reykjavik,airport
Ísafjörður Airport,Isafjordur,Iceland,IFJ,BIIS,66.0580978393555,-23.1352996826172,8,0,N,Atlantic/Reykjavik,airport
Keflavik International Airport,Keflavik,Iceland,KEF,BIKF,63.985000610352,-22.605600357056,171,0,N,Atlantic/Reykjavik,airport
Patreksfjörður Airport,Patreksfjordur,Iceland,PFJ,BIPA,65.555801,-23.965,11,0,N,Atlantic/Reykjavik,airport
Reykjavik Airport,Reykjavik,Iceland,RKV,BIRK,64.1299972534,-21.9405994415,48,0,N,Atlantic/Reykjavik,airport
Siglufjörður Airport,Siglufjordur,Iceland,SIJ,BISI,66.133301,-18.9167,10,0,N,Atlantic/Reykjavik,airport
Vestmannaeyjar Airport,Vestmannaeyjar,Iceland,VEY,BIVM,63.4243011474609,-20.2789001464844,326,0,N,Atlantic/Reykjavik,airport
Sault Ste Marie Airport,Sault Sainte Marie,Canada,YAM,CYAM,46.4850006103516,-84.5093994140625,630,-5,A,America/Toronto,airport
Winnipeg / St. Andrews Airport,Winnipeg,Canada,YAV,CYAV,50.0564002991,-97.0325012207,760,-6,A,America/Winnipeg,airport
Halifax / CFB Shearwater Heliport,Halifax,Canada,YAW,CYAW,44.6397018433,-63.4994010925,144,-4,A,America/Halifax,airport
St. Anthony Airport,St. Anthony,Canada,YAY,CYAY,51.3918991089,-56.0830993652,108,-3.5,A,America/St_Johns,airport
Tofino / Long Beach Airport,Tofino,Canada,YAZ,CYAZ,49.079833,-125.775583,80,-8,A,America/Vancouver,airport
Kugaaruk Airport,Pelly Bay,Canada,YBB,CYBB,68.534401,-89.808098,56,-7,A,America/Edmonton,airport
Baie Comeau Airport,Baie Comeau,Canada,YBC,CYBC,49.1324996948242,-68.2043991088867,71,-5,A,America/Toronto,airport
CFB Bagotville,Bagotville,Canada,YBG,CYBG,48.3306007385254,-70.9963989257813,522,-5,A,America/Toronto,airport
Baker Lake Airport,Baker Lake,Canada,YBK,CYBK,64.2988967896,-96.077796936,59,-6,A,America/Winnipeg,airport
Campbell River Airport,Campbell River,Canada,YBL,CYBL,49.9508018493652,-125.271003723145,346,-8,A,America/Vancouver,airport
Brandon Municipal Airport,Brandon,Canada,YBR,CYBR,49.91,-99.951897,1343,-6,A,America/Winnipeg,airport
Cambridge Bay Airport,Cambridge Bay,Canada,YCB,CYCB,69.1081008911,-105.138000488,90,-7,A,America/Edmonton,airport
Nanaimo Airport,Nanaimo,Canada,YCD,CYCD,49.0549702249,-123.869862556,92,-8,A,America/Vancouver,airport
Castlegar/West Kootenay Regional Airport,Castlegar,Canada,YCG,CYCG,49.2963981628,-117.632003784,1624,-8,A,America/Vancouver,airport
Miramichi Airport,Chatham,Canada,YCH,CYCH,47.007801,-65.449203,108,-4,A,America/Halifax,airport
Charlo Airport,Charlo,Canada,YCL,CYCL,47.990799,-66.330299,132,-4,A,America/Halifax,airport
Kugluktuk Airport,Coppermine,Canada,YCO,CYCO,67.8167037964,-115.143997192,74,-7,A,America/Edmonton,airport
Coronation Airport,Coronation,Canada,YCT,CYCT,52.0750007629,-111.444999695,2595,-7,A,America/Edmonton,airport
Chilliwack Airport,Chilliwack,Canada,YCW,CYCW,49.1528015137,-121.939002991,32,-8,A,America/Vancouver,airport
Clyde River Airport,Clyde River,Canada,YCY,CYCY,70.4860992432,-68.5167007446,87,-5,A,America/Toronto,airport
Coral Harbour Airport,Coral Harbour,Canada,YZS,CYZS,64.1932983398,-83.3593978882,210,-5,A,America/Coral_Harbour,airport
Dawson City Airport,Dawson,Canada,YDA,CYDA,64.043098449707,-139.128005981445,1215,-8,A,America/Vancouver,airport
Burwash Airport,Burwash,Canada,YDB,CYDB,61.3711013793945,-139.041000366211,2647,-8,A,America/Vancouver,airport
Princeton Airport,Princeton,Canada,YDC,CYDC,49.4681015015,-120.511001587,2298,-8,A,America/Vancouver,airport
Deer Lake Airport,Deer Lake,Canada,YDF,CYDF,49.2108001708984,-57.3913993835449,72,-3.5,A,America/St_Johns,airport
Dease Lake Airport,Dease Lake,Canada,YDL,CYDL,58.4221992493,-130.031997681,2600,-8,A,America/Vancouver,airport
Dauphin Barker Airport,Dauphin,Canada,YDN,CYDN,51.1007995605469,-100.052001953125,999,-6,A,America/Winnipeg,airport
Dawson Creek Airport,Dawson Creek,Canada,YDQ,CYDQ,55.7422981262207,-120.182998657227,2148,-7,A,America/Dawson_Creek,airport
Edmonton International Airport,Edmonton,Canada,YEG,CYEG,53.3097000122,-113.580001831,2373,-7,A,America/Edmonton,airport
Arviat Airport,Eskimo Point,Canada,YEK,CYEK,61.0942001343,-94.0708007812,32,-6,A,America/Winnipeg,airport
Estevan Airport,Estevan,Canada,YEN,CYEN,49.2103004456,-102.966003418,1905,-6,N,America/Regina,airport
Edson Airport,Edson,Canada,YET,CYET,53.5788993835,-116.464996338,3043,-7,A,America/Edmonton,airport
Eureka Airport,Eureka,Canada,YEU,CYEU,79.9946975708,-85.814201355,256,-6,A,America/Winnipeg,airport
Inuvik Mike Zubko Airport,Inuvik,Canada,YEV,CYEV,68.3041992188,-133.483001709,224,-7,A,America/Edmonton,airport
Iqaluit Airport,Iqaluit,Canada,YFB,CYFB,63.756401062,-68.5558013916,110,-5,A,America/Toronto,airport
Fredericton Airport,Fredericton,Canada,YFC,CYFC,45.8689002990723,-66.5372009277344,68,-4,A,America/Halifax,airport
Forestville Airport,Forestville,Canada,\N,CYFE,48.7461013793945,-69.0971984863281,293,-5,A,America/Toronto,airport
Flin Flon Airport,Flin Flon,Canada,YFO,CYFO,54.6781005859375,-101.681999206543,997,-6,A,America/Winnipeg,airport
Fort Resolution Airport,Fort Resolution,Canada,YFR,CYFR,61.1808013916,-113.690002441,526,-7,A,America/Edmonton,airport
Fort Simpson Airport,Fort Simpson,Canada,YFS,CYFS,61.7602005004883,-121.236999511719,555,-7,A,America/Edmonton,airport
Kingston Norman Rogers Airport,Kingston,Canada,YGK,CYGK,44.2252998352051,-76.5969009399414,305,-5,A,America/Toronto,airport
La Grande Rivière Airport,La Grande Riviere,Canada,YGL,CYGL,53.625301361084,-77.7042007446289,639,-5,A,America/Toronto,airport
Gaspé (Michel-Pouliot) Airport,Gaspe,Canada,YGP,CYGP,48.7752990723,-64.4785995483,112,-5,A,America/Toronto,airport
Geraldton Greenstone Regional Airport,Geraldton,Canada,YGQ,CYGQ,49.7783012390137,-86.9393997192383,1144,-5,A,America/Toronto,airport
Îles-de-la-Madeleine Airport,Iles De La Madeleine,Canada,YGR,CYGR,47.4247016906738,-61.7780990600586,35,-5,A,America/Toronto,airport
Hudson Bay Airport,Hudson Bay,Canada,YHB,CYHB,52.8166999817,-102.310997009,1175,-6,N,America/Regina,airport
Dryden Regional Airport,Dryden,Canada,YHD,CYHD,49.8316993713379,-92.7442016601563,1354,-6,A,America/Winnipeg,airport
Ulukhaktok Holman Airport,Holman Island,Canada,YHI,CYHI,70.7628021240234,-117.805999755859,117,-7,A,America/Edmonton,airport
Gjoa Haven Airport,Gjoa Haven,Canada,YHK,CYHK,68.635597229,-95.8497009277,152,-7,A,America/Edmonton,airport
John C. Munro Hamilton International Airport,Hamilton,Canada,YHM,CYHM,43.1735992432,-79.9349975586,780,-5,A,America/Toronto,airport
Montréal / Saint-Hubert Airport,Montreal,Canada,YHU,CYHU,45.5175018311,-73.4169006348,90,-5,A,America/Toronto,airport
Hay River / Merlyn Carter Airport,Hay River,Canada,YHY,CYHY,60.8396987915,-115.782997131,541,-7,A,America/Edmonton,airport
Halifax / Stanfield International Airport,Halifax,Canada,YHZ,CYHZ,44.8807983398,-63.5085983276,477,-4,A,America/Halifax,airport
Atikokan Municipal Airport,Atikokan,Canada,YIB,CYIB,48.7738990784,-91.6386032104,1408,-5,A,America/Coral_Harbour,airport
Pond Inlet Airport,Pond Inlet,Canada,YIO,CYIO,72.6832962036,-77.9666976929,181,-5,A,America/Toronto,airport
St Jean Airport,St. Jean,Canada,YJN,CYJN,45.2943992614746,-73.2810974121094,136,-5,A,America/Toronto,airport
Stephenville Airport,Stephenville,Canada,YJT,CYJT,48.5442008972168,-58.5499992370606,84,-3.5,A,America/St_Johns,airport
Kamloops Airport,Kamloops,Canada,YKA,CYKA,50.7022018433,-120.444000244,1133,-8,A,America/Vancouver,airport
Waterloo Airport,Waterloo,Canada,YKF,CYKF,43.4608001709,-80.3786010742,1055,-5,A,America/Toronto,airport
Schefferville Airport,Schefferville,Canada,YKL,CYKL,54.8053016662598,-66.8052978515625,1709,-5,A,America/Toronto,airport
Kindersley Airport,Kindersley,Canada,YKY,CYKY,51.5175018311,-109.180999756,2277,-6,N,America/Regina,airport
Buttonville Municipal Airport,Toronto,Canada,YKZ,CYKZ,43.8622016906738,-79.370002746582,650,-5,A,America/Toronto,airport
Chapleau Airport,Chapleau,Canada,YLD,CYLD,47.8199996948242,-83.3467025756836,1470,-5,A,America/Toronto,airport
Meadow Lake Airport,Meadow Lake,Canada,YLJ,CYLJ,54.125301361084,-108.523002624512,1576,-6,N,America/Regina,airport
Lloydminster Airport,Lloydminster,Canada,YLL,CYLL,53.3092002868652,-110.072998046875,2193,-7,A,America/Edmonton,airport
Alert Airport,Alert,Canada,YLT,CYLT,82.5177993774,-62.2806015015,100,-5,A,America/Toronto,airport
Kelowna International Airport,Kelowna,Canada,YLW,CYLW,49.9561004639,-119.377998352,1421,-8,A,America/Vancouver,airport
Mayo Airport,Mayo,Canada,YMA,CYMA,63.6164016723633,-135.86799621582,1653,-8,A,America/Vancouver,airport
Moose Jaw Air Vice Marshal C. M. McEwen Airport,Moose Jaw,Canada,YMJ,CYMJ,50.3302993774414,-105.55899810791,1892,-6,N,America/Regina,airport
Fort McMurray Airport,Fort Mcmurray,Canada,YMM,CYMM,56.653301239,-111.222000122,1211,-7,A,America/Edmonton,airport
Moosonee Airport,Moosonee,Canada,YMO,CYMO,51.2910995483398,-80.6078033447266,30,-5,A,America/Toronto,airport
Maniwaki Airport,Maniwaki,Canada,YMW,CYMW,46.2728004456,-75.9906005859,656,-5,A,America/Toronto,airport
Montreal International (Mirabel) Airport,Montreal,Canada,YMX,CYMX,45.6795005798,-74.0386962891,270,-5,A,America/Toronto,airport
Natashquan Airport,Natashquan,Canada,YNA,CYNA,50.189998626709,-61.7891998291016,39,-5,A,America/Toronto,airport
Ottawa / Gatineau Airport,Gatineau,Canada,YND,CYND,45.5217018127,-75.5635986328,211,-5,A,America/Toronto,airport
Matagami Airport,Matagami,Canada,YNM,CYNM,49.7616996765137,-77.8028030395508,918,-5,A,America/Toronto,airport
Old Crow Airport,Old Crow,Canada,YOC,CYOC,67.5706024169922,-139.839004516602,824,-8,A,America/Vancouver,airport
CFB Cold Lake,Cold Lake,Canada,YOD,CYOD,54.4049987792969,-110.278999328613,1775,-7,A,America/Edmonton,airport
High Level Airport,High Level,Canada,YOJ,CYOJ,58.6213989257813,-117.165000915527,1110,-7,A,America/Edmonton,airport
Ottawa Macdonald-Cartier International Airport,Ottawa,Canada,YOW,CYOW,45.3224983215332,-75.6691970825195,374,-5,A,America/Toronto,airport
Prince Albert Glass Field,Prince Albert,Canada,YPA,CYPA,53.2141990662,-105.672996521,1405,-6,N,America/Regina,airport
Peace River Airport,Peace River,Canada,YPE,CYPE,56.2268981933594,-117.446998596191,1873,-7,A,America/Edmonton,airport
Southport Airport,Portage-la-prairie,Canada,YPG,CYPG,49.903099,-98.273817,885,-6,A,America/Winnipeg,airport
Pitt Meadows Airport,Pitt Meadows,Canada,\N,CYPK,49.2160987854004,-122.709999084473,11,-8,A,America/Vancouver,airport
Pickle Lake Airport,Pickle Lake,Canada,YPL,CYPL,51.4463996887207,-90.2142028808594,1267,-5,A,America/Coral_Harbour,airport
Port Menier Airport,Port Menier,Canada,YPN,CYPN,49.8363990783691,-64.2885971069336,167,-5,A,America/Toronto,airport
Peterborough Airport,Peterborough,Canada,YPQ,CYPQ,44.2299995422363,-78.3632965087891,628,-5,A,America/Toronto,airport
Prince Rupert Airport,Prince Pupert,Canada,YPR,CYPR,54.2860984802,-130.445007324,116,-8,A,America/Vancouver,airport
Fort Chipewyan Airport,Fort Chipewyan,Canada,YPY,CYPY,58.7672004699707,-111.116996765137,761,-7,A,America/Edmonton,airport
Muskoka Airport,Muskoka,Canada,YQA,CYQA,44.9747009277344,-79.3032989501953,925,-5,A,America/Toronto,airport
Quebec Jean Lesage International Airport,Quebec,Canada,YQB,CYQB,46.7911,-71.393303,244,-5,A,America/Toronto,airport
Red Deer Regional Airport,Red Deer Industrial,Canada,YQF,CYQF,52.1822013854981,-113.893997192383,2968,-7,A,America/Edmonton,airport
Windsor Airport,Windsor,Canada,YQG,CYQG,42.2756004333496,-82.9555969238281,622,-5,A,America/Toronto,airport
Watson Lake Airport,Watson Lake,Canada,YQH,CYQH,60.1164016723633,-128.822006225586,2255,-8,A,America/Vancouver,airport
Kenora Airport,Kenora,Canada,YQK,CYQK,49.7882995605469,-94.3630981445313,1332,-6,A,America/Winnipeg,airport
Lethbridge County Airport,Lethbridge,Canada,YQL,CYQL,49.6302986145,-112.800003052,3048,-7,A,America/Edmonton,airport
Greater Moncton International Airport,Moncton,Canada,YQM,CYQM,46.1122016906738,-64.678596496582,232,-4,A,America/Halifax,airport
Comox Airport,Comox,Canada,YQQ,CYQQ,49.7108001708984,-124.887001037598,84,-8,A,America/Vancouver,airport
Regina International Airport,Regina,Canada,YQR,CYQR,50.4319000244141,-104.666000366211,1894,-6,N,America/Regina,airport
Thunder Bay Airport,Thunder Bay,Canada,YQT,CYQT,48.3718986511231,-89.3238983154297,653,-5,A,America/Toronto,airport
Grande Prairie Airport,Grande Prairie,Canada,YQU,CYQU,55.1796989441,-118.885002136,2195,-7,A,America/Edmonton,airport
Yorkton Municipal Airport,Yorkton,Canada,YQV,CYQV,51.2647018432617,-102.46199798584,1635,-6,N,America/Regina,airport
North Battleford Airport,North Battleford,Canada,YQW,CYQW,52.7691993713379,-108.244003295898,1799,-6,N,America/Regina,airport
Gander International Airport,Gander,Canada,YQX,CYQX,48.9369010925293,-54.5680999755859,496,-3.5,A,America/St_Johns,airport
Sydney / J.A. Douglas McCurdy Airport,Sydney,Canada,YQY,CYQY,46.1613998413,-60.0477981567,203,-4,A,America/Halifax,airport
Quesnel Airport,Quesnel,Canada,YQZ,CYQZ,53.0261001586914,-122.51000213623,1789,-8,A,America/Vancouver,airport
Resolute Bay Airport,Resolute,Canada,YRB,CYRB,74.7169036865,-94.9693984985,215,-6,A,America/Winnipeg,airport
Rivière-du-Loup Airport,Riviere Du Loup,Canada,YRI,CYRI,47.7644004821777,-69.5847015380859,427,-5,A,America/Toronto,airport
Roberval Airport,Roberval,Canada,YRJ,CYRJ,48.5200004577637,-72.2656021118164,586,-5,A,America/Toronto,airport
Rocky Mountain House Airport,Rocky Mountain House,Canada,YRM,CYRM,52.4296989441,-114.903999329,3244,-7,A,America/Edmonton,airport
Rankin Inlet Airport,Rankin Inlet,Canada,YRT,CYRT,62.8114013672,-92.1157989502,94,-6,A,America/Winnipeg,airport
Sudbury Airport,Sudbury,Canada,YSB,CYSB,46.625,-80.7988967895508,1141,-5,A,America/Toronto,airport
Sherbrooke Airport,Sherbrooke,Canada,YSC,CYSC,45.4385986328125,-71.6913986206055,792,-5,A,America/Toronto,airport
Saint John Airport,St. John,Canada,YSJ,CYSJ,45.3161010742187,-65.8902969360352,357,-4,A,America/Halifax,airport
Fort Smith Airport,Fort Smith,Canada,YSM,CYSM,60.0203018188477,-111.96199798584,671,-7,A,America/Edmonton,airport
Nanisivik Airport,Nanisivik,Canada,YSR,CYSR,72.982201,-84.613602,2106,-5,A,America/Toronto,airport
Summerside Airport,Summerside,Canada,YSU,CYSU,46.440601348877,-63.8335990905762,56,-4,A,America/Halifax,airport
Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,Sachs Harbour,Canada,YSY,CYSY,71.9938964844,-125.242996216,282,-7,A,America/Edmonton,airport
Cape Dorset Airport,Cape Dorset,Canada,YTE,CYTE,64.2300033569,-76.5267028809,164,-5,A,America/Toronto,airport
Thompson Airport,Thompson,Canada,YTH,CYTH,55.8011016845703,-97.8641967773438,729,-6,A,America/Winnipeg,airport
CFB Trenton,Trenton,Canada,YTR,CYTR,44.1189002990723,-77.5280990600586,283,-5,A,America/Toronto,airport
Timmins/Victor M. Power,Timmins,Canada,YTS,CYTS,48.5696983337,-81.376701355,967,-5,A,America/Toronto,airport
Billy Bishop Toronto City Centre Airport,Toronto,Canada,YTZ,CYTZ,43.627499,-79.396202,252,-5,A,America/Toronto,airport
Tuktoyaktuk Airport,Tuktoyaktuk,Canada,YUB,CYUB,69.4332962036133,-133.026000976563,15,-7,A,America/Edmonton,airport
Montreal / Pierre Elliott Trudeau International Airport,Montreal,Canada,YUL,CYUL,45.4706001282,-73.7407989502,118,-5,A,America/Toronto,airport
Repulse Bay Airport,Repulse Bay,Canada,YUT,CYUT,66.5214004517,-86.2247009277,80,-6,A,America/Winnipeg,airport
Hall Beach Airport,Hall Beach,Canada,YUX,CYUX,68.7761001587,-81.2425,30,-5,A,America/Toronto,airport
Rouyn Noranda Airport,Rouyn,Canada,YUY,CYUY,48.2061004638672,-78.8356018066406,988,-5,A,America/Toronto,airport
La Ronge Airport,La Ronge,Canada,YVC,CYVC,55.1514015198,-105.262001038,1242,-6,N,America/Regina,airport
Vermilion Airport,Vermillion,Canada,YVG,CYVG,53.3558006287,-110.823997498,2025,-7,A,America/Edmonton,airport
Qikiqtarjuaq Airport,Broughton Island,Canada,YVM,CYVM,67.5457992554,-64.0314025879,21,-5,A,America/Toronto,airport
Val-d'Or Airport,Val D'or,Canada,YVO,CYVO,48.0532989502,-77.7827987671,1107,-5,A,America/Toronto,airport
Kuujjuaq Airport,Quujjuaq,Canada,YVP,CYVP,58.0960998535156,-68.4269027709961,129,-5,A,America/Toronto,airport
Norman Wells Airport,Norman Wells,Canada,YVQ,CYVQ,65.2816009521484,-126.797996520996,238,-7,A,America/Edmonton,airport
Vancouver International Airport,Vancouver,Canada,YVR,CYVR,49.193901062,-123.183998108,14,-8,A,America/Vancouver,airport
Buffalo Narrows Airport,Buffalo Narrows,Canada,YVT,CYVT,55.8418998718,-108.417999268,1423,-6,N,America/Regina,airport
Wiarton Airport,Wiarton,Canada,YVV,CYVV,44.7458,-81.107201,729,-5,A,America/Toronto,airport
Petawawa Airport,Petawawa,Canada,YWA,CYWA,45.9522018432617,-77.3191986083984,427,-5,A,America/Toronto,airport
Winnipeg / James Armstrong Richardson International Airport,Winnipeg,Canada,YWG,CYWG,49.9099998474,-97.2398986816,783,-6,A,America/Winnipeg,airport
Wabush Airport,Wabush,Canada,YWK,CYWK,52.9219017028809,-66.8644027709961,1808,-4,A,America/Halifax,airport
Williams Lake Airport,Williams Lake,Canada,YWL,CYWL,52.1831016541,-122.054000854,3085,-8,A,America/Vancouver,airport
Wrigley Airport,Wrigley,Canada,YWY,CYWY,63.209400177002,-123.436996459961,489,-7,A,America/Edmonton,airport
Cranbrook/Canadian Rockies International Airport,Cranbrook,Canada,YXC,CYXC,49.610801696777,-115.78199768066,3082,-7,A,America/Edmonton,airport
Edmonton City Centre (Blatchford Field) Airport,Edmonton,Canada,YXD,CYXD,53.5724983215,-113.521003723,2202,-7,A,America/Edmonton,airport
Saskatoon John G. Diefenbaker International Airport,Saskatoon,Canada,YXE,CYXE,52.1707992553711,-106.699996948242,1653,-6,N,America/Regina,airport
Medicine Hat Airport,Medicine Hat,Canada,YXH,CYXH,50.0189018249512,-110.721000671387,2352,-7,A,America/Edmonton,airport
Fort St John Airport,Fort Saint John,Canada,YXJ,CYXJ,56.2380981445313,-120.73999786377,2280,-7,A,America/Dawson_Creek,airport
Sioux Lookout Airport,Sioux Lookout,Canada,YXL,CYXL,50.113899230957,-91.9052963256836,1258,-6,A,America/Winnipeg,airport
Pangnirtung Airport,Pangnirtung,Canada,YXP,CYXP,66.1449966431,-65.7136001587,75,-5,A,America/Toronto,airport
Earlton (Timiskaming Regional) Airport,Earlton,Canada,YXR,CYXR,47.6974006546,-79.8473453522,800,-5,A,America/Toronto,airport
Prince George Airport,Prince George,Canada,YXS,CYXS,53.8894004822,-122.679000854,2267,-8,A,America/Vancouver,airport
Northwest Regional Airport Terrace-Kitimat,Terrace,Canada,YXT,CYXT,54.468498,-128.576009,713,-8,A,America/Vancouver,airport
London Airport,London,Canada,YXU,CYXU,43.035599,-81.1539,912,-5,A,America/Toronto,airport
Abbotsford Airport,Abbotsford,Canada,YXX,CYXX,49.0252990722656,-122.361000061035,195,-8,A,America/Vancouver,airport
Whitehorse / Erik Nielsen International Airport,Whitehorse,Canada,YXY,CYXY,60.7095985413,-135.067001343,2317,-8,A,America/Vancouver,airport
North Bay Airport,North Bay,Canada,YYB,CYYB,46.3636016845703,-79.4227981567383,1215,-5,A,America/Toronto,airport
Calgary International Airport,Calgary,Canada,YYC,CYYC,51.113899231,-114.019996643,3557,-7,A,America/Edmonton,airport
Smithers Airport,Smithers,Canada,YYD,CYYD,54.8246994018555,-127.182998657227,1712,-8,A,America/Vancouver,airport
Fort Nelson Airport,Fort Nelson,Canada,YYE,CYYE,58.8363990784,-122.597000122,1253,-8,A,America/Vancouver,airport
Penticton Airport,Penticton,Canada,YYF,CYYF,49.4631004333496,-119.601997375488,1129,-8,A,America/Vancouver,airport
Charlottetown Airport,Charlottetown,Canada,YYG,CYYG,46.2900009155274,-63.1211013793945,160,-4,A,America/Halifax,airport
Taloyoak Airport,Spence Bay,Canada,YYH,CYYH,69.5466995239,-93.5766983032,92,-7,A,America/Edmonton,airport
Victoria International Airport,Victoria,Canada,YYJ,CYYJ,48.646900177,-123.426002502,63,-8,A,America/Vancouver,airport
Lynn Lake Airport,Lynn Lake,Canada,YYL,CYYL,56.863899230957,-101.075996398926,1170,-6,A,America/Winnipeg,airport
Swift Current Airport,Swift Current,Canada,YYN,CYYN,50.2919006348,-107.691001892,2680,-6,N,America/Regina,airport
Churchill Airport,Churchill,Canada,YYQ,CYYQ,58.739200592041,-94.0650024414063,94,-6,A,America/Winnipeg,airport
Goose Bay Airport,Goose Bay,Canada,YYR,CYYR,53.3191986084,-60.4258003235,160,-4,A,America/Halifax,airport
St. John's International Airport,St. John's,Canada,YYT,CYYT,47.618598938,-52.7518997192,461,-3.5,A,America/St_Johns,airport
Kapuskasing Airport,Kapuskasing,Canada,YYU,CYYU,49.4138984680176,-82.4674987792969,743,-5,A,America/Toronto,airport
Armstrong Airport,Armstrong,Canada,YYW,CYYW,50.2902984619141,-88.9096984863281,1058,-5,A,America/Toronto,airport
Mont Joli Airport,Mont Joli,Canada,YYY,CYYY,48.6086006164551,-68.2080993652344,172,-5,A,America/Toronto,airport
Lester B. Pearson International Airport,Toronto,Canada,YYZ,CYYZ,43.6772003174,-79.6305999756,569,-5,A,America/Toronto,airport
Downsview Airport,Toronto,Canada,YZD,CYZD,43.7425003051758,-79.4655990600586,652,-5,A,America/Toronto,airport
Gore Bay Manitoulin Airport,Gore Bay,Canada,YZE,CYZE,45.8852996826172,-82.5678024291992,635,-5,A,America/Toronto,airport
Yellowknife Airport,Yellowknife,Canada,YZF,CYZF,62.4627990722656,-114.440002441406,675,-7,A,America/Edmonton,airport
Slave Lake Airport,Slave Lake,Canada,YZH,CYZH,55.2930984497,-114.777000427,1912,-7,A,America/Edmonton,airport
Sandspit Airport,Sandspit,Canada,YZP,CYZP,53.2542991638,-131.813995361,21,-8,A,America/Vancouver,airport
Chris Hadfield Airport,Sarnia,Canada,YZR,CYZR,42.9994010925293,-82.3088989257812,594,-5,A,America/Toronto,airport
Port Hardy Airport,Port Hardy,Canada,YZT,CYZT,50.6805992126465,-127.366996765137,71,-8,A,America/Vancouver,airport
Whitecourt Airport,Whitecourt,Canada,YZU,CYZU,54.1439018249512,-115.787002563477,2567,-7,A,America/Edmonton,airport
Sept-Îles Airport,Sept-iles,Canada,YZV,CYZV,50.2233009338379,-66.2656021118164,180,-5,A,America/Toronto,airport
Teslin Airport,Teslin,Canada,YZW,CYZW,60.1727981567383,-132.74299621582,2313,-8,A,America/Vancouver,airport
CFB Greenwood,Greenwood,Canada,YZX,CYZX,44.9844017028809,-64.9169006347656,92,-4,A,America/Halifax,airport
Faro Airport,Faro,Canada,ZFA,CZFA,62.2075004577637,-133.376007080078,2351,-8,A,America/Vancouver,airport
Fort Mcpherson Airport,Fort Mcpherson,Canada,ZFM,CZFM,67.4075012207031,-134.860992431641,116,-7,A,America/Edmonton,airport
Blida Airport,Blida,Algeria,\N,DAAB,36.5036010742187,2.81416988372803,535,1,N,Africa/Algiers,airport
Bou Saada Airport,Bou Saada,Algeria,\N,DAAD,35.3325004577637,4.20638990402222,1506,1,N,Africa/Algiers,airport
Soummam Airport,Bejaja,Algeria,BJA,DAAE,36.7120018005,5.06992006302,20,1,N,Africa/Algiers,airport
Houari Boumediene Airport,Algier,Algeria,ALG,DAAG,36.6910018920898,3.21540999412537,82,1,N,Africa/Algiers,airport
Djanet Inedbirene Airport,Djanet,Algeria,DJG,DAAJ,24.2928009033,9.45244026184,3176,1,N,Africa/Algiers,airport
Boufarik Airport,Boufarik,Algeria,QFD,DAAK,36.545799,2.87611,335,1,N,Africa/Algiers,airport
Reggane Airport,Reggan,Algeria,\N,DAAN,26.7101001739502,0.285647004842758,955,1,N,Africa/Algiers,airport
Illizi Takhamalt Airport,Illizi,Algeria,VVZ,DAAP,26.7234992981,8.62265014648,1778,1,N,Africa/Algiers,airport
Ain Oussera Airport,Ain Oussera,Algeria,\N,DAAQ,35.5253982543945,2.8787100315094,2132,1,N,Africa/Algiers,airport
Aguenar – Hadj Bey Akhamok Airport,Tamanrasset,Algeria,TMR,DAAT,22.8115005493,5.45107984543,4518,1,N,Africa/Algiers,airport
